snippet
es un proyecto
este proyecto
un proyecto
pero es un proyecto
bloque estudiantes - interdisciplina camilo paredes
interdisciplina camilo paredes lukas yunge
el proyecto
espacio fisico
bueno por supuesto este igual es un proceso
es un proyecto que se centra en una
un proyecto que mezcla elementos de neurociencia podriamos
este es un proyecto que trabajamos con un
dia 1 bloque estudiantes - interdisciplina camilo paredes
el proyecto es en si una exploracion de
nosotros entendemos mucho este proyecto como un sistema
